round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256
0,1,1,1,0,0.015001878000475699,0.0074649999999999994,0.0073869999999999995,24682496,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a
0,1,0,1,10,0.02083373699861113,0.0078829999999999994,0.012759,30609408,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3
0,1,1,0,10,0.020194474000163609,0.012052,0.0079639999999999989,30642176,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3
0,1,0,1,8,0.021874994999961928,0.017204999999999998,0.0042369999999999994,31657984,NA,NA,NA,NA,NA,NA,NA,NA,98128,39898,2049,512,d54e0d3e437f1319c5e0037da4750229225984f79f1ebd587b1323affae587ab
0,1,1,0,8,0.021251384001516271,0.012669999999999999,0.0083879999999999996,31752192,NA,NA,NA,NA,NA,NA,NA,NA,98128,39898,2049,512,d54e0d3e437f1319c5e0037da4750229225984f79f1ebd587b1323affae587ab
0,1,0,0,9,0.019614076998550445,0.019467999999999999,0,30691328,NA,NA,NA,NA,NA,NA,NA,NA,147280,39898,2049,512,02ee45f00f5fa967779eb017bd9c1965526161af8ee6a0f23a31a68b3dbbac77
0,1,1,1,9,0.019838799002172891,0.015878,0.0038119999999999999,30466048,NA,NA,NA,NA,NA,NA,NA,NA,147280,39898,2049,512,02ee45f00f5fa967779eb017bd9c1965526161af8ee6a0f23a31a68b3dbbac77
0,1,0,0,18,0.049051706999307498,0.044842,0.0040039999999999997,41037824,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,1,1,1,18,0.058579147000273224,0.043903999999999999,0.014452999999999999,40824832,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,1,0,0,11,0.021059290000266628,0.016649000000000001,0.0042049999999999995,30674944,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3
0,1,1,1,11,0.019664116000058129,0.015744999999999999,0.0037399999999999998,30367744,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3
0,1,0,1,12,0.031145230997935869,0.022792999999999997,0.007918999999999999,31498240,NA,NA,NA,NA,NA,NA,NA,NA,313424,280189,4101,1,0f9e44f960c45a3ca86cde574970381ef909d64a6bb2d20a17395bced584502a
0,1,1,0,12,0.030565013999876101,0.022598,0.0077559999999999999,31244288,NA,NA,NA,NA,NA,NA,NA,NA,313424,280189,4101,1,0f9e44f960c45a3ca86cde574970381ef909d64a6bb2d20a17395bced584502a
0,1,0,1,2,0.013591987000836525,0.004385,0.0090130000000000002,24727552,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207
0,1,1,0,2,0.016491708000103245,0.0096139999999999993,0.006698,24936448,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207
0,1,0,0,20,0.13038806700205896,0.11238999999999999,0.015174,60354560,NA,NA,NA,NA,NA,NA,NA,NA,1746680,711531,19202,64,e4041ce2b5b6df572ca4d0ca66e6006ad368116646e82963f7e9550b84ab78ca
0,1,1,1,20,0.13452743800007738,0.12576499999999999,0.0083280000000000003,60416000,NA,NA,NA,NA,NA,NA,NA,NA,1746680,711531,19202,64,e4041ce2b5b6df572ca4d0ca66e6006ad368116646e82963f7e9550b84ab78ca
