workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256
full-compiler,timing,2,False,after,2085082622,1959205000,116344000,1819992,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,3,False,after,3950761281,1832419000,108356000,1819936,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,3,False,before,1444366561,1346272000,89552000,1844328,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,4,False,before,5471876393,5183008000,187319000,1844140,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,4,False,after,7563920876,7033072000,414128000,1819916,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,5,False,after,6786681878,6287428000,398350000,1820028,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,5,False,before,8824448494,8206489000,449308000,1844688,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,6,False,before,4091593361,3812511000,240621000,1844196,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,6,False,after,2032271375,1893985000,128318000,1820224,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,7,False,after,1774128859,1647396000,118359000,1820248,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,7,False,before,2727228858,2536973000,146947000,1844480,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,8,False,before,2394190316,2232870000,147038000,1844360,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,8,False,after,2391054030,2255023000,116358000,1820312,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,counter,0,False,before,,,,,11617436594,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,counter,0,False,after,,,,,11623688302,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,counter,1,False,after,,,,,11623689551,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,counter,1,False,before,,,,,11617436272,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,counter,2,False,before,,,,,11617438221,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,counter,2,False,after,,,,,11623688345,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
