workload,pair,mode,elapsed_ns,cpu_seconds,user_seconds,system_seconds,rss_kib,output_bytes,output_sha256,instructions:u,cycles:u,task-clock:u,minor_faults,major_faults
functions,12,direct,45634991,0.045085,0.038113,0.006972,124424,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407806.0,124200459.0,44.09,987,0
functions,12,reference,44308692,0.043685,0.035744,0.007941,122296,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371388.0,134369014.0,46.03,538,0
functions,13,reference,46802543,0.046158,0.039139,0.007019,122112,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371756.0,127804855.0,43.99,986,0
functions,13,direct,44048565,0.043484999999999996,0.034603999999999996,0.008881,124608,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407394.0,126722998.0,41.98,539,0
functions,14,reference,47015552,0.046334999999999994,0.040285999999999995,0.006049,122176,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337361371.0,131484901.0,44.2,989,0
functions,14,direct,45347783,0.04465,0.038695,0.005954999999999999,123932,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407918.0,125667655.0,44.77,980,0
functions,15,direct,45255008,0.0447,0.034779,0.009921,124408,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407687.0,124239203.0,42.91,540,0
functions,15,reference,45288051,0.044694,0.03576,0.008934,122256,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371542.0,125602680.0,43.15,984,0
functions,16,direct,42620722,0.042108,0.034109,0.007999,124140,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407817.0,123911514.0,41.46,986,0
functions,16,reference,45143430,0.04457,0.03664,0.00793,122240,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371678.0,126560712.0,41.91,984,0
